,Ticker,Price
2023-03-03,MCD,269.07000732421875
2023-03-06,MCD,270.6400146484375
2023-03-07,MCD,267.1300048828125
2023-03-08,MCD,265.3299865722656
2023-03-09,MCD,261.6300048828125
2023-03-10,MCD,262.0299987792969
2023-03-13,MCD,263.0799865722656
2023-03-14,MCD,265.8999938964844
2023-03-15,MCD,266.3399963378906
2023-03-16,MCD,270.57000732421875
2023-03-17,MCD,267.20001220703125
2023-03-20,MCD,270.739990234375
2023-03-21,MCD,270.2099914550781
2023-03-22,MCD,267.8699951171875
2023-03-23,MCD,269.6199951171875
2023-03-24,MCD,271.3299865722656
2023-03-27,MCD,273.8399963378906
2023-03-28,MCD,275.8500061035156
2023-03-29,MCD,277.44000244140625
2023-03-30,MCD,277.7900085449219
2023-03-31,MCD,279.6099853515625
